cruise,date,transect,station,Moc,Net,Haul,Length(mm),notes ,
spectraW22,20220305,CR,1,1,4p,109-1-4p,4.55,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,3.26,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.27,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,6.69,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.35,,
spectraW22,20220305,CR,1,4,4,109-4-4,9.65,flexion,
spectraW22,20220305,CR,1,4,4,109-4-4,7.74,,
spectraW22,20220305,CR,1,4,4,109-4-4,9.17,flexion,
spectraW22,20220305,CR,1,4,4,109-4-4,9.22,flexion,
spectraW22,20220305,CR,1,4,4,109-4-4,11.66,post-flexion,
spectraW22,20220305,CR,1,4,4,109-4-4,9.38,,
spectraW22,20220305,CR,1,4,4,109-4-4,8.46,,
spectraW22,20220305,CR,1,4,4,109-4-4,12.11,post-flexion,
spectraW22,20220305,CR,1,4,4,109-4-4,7.72,,
spectraW22,20220305,CR,1,4,4,109-4-4,9.64,,
spectraW22,20220305,CR,2,1,0,110-1-0,4.83,,
spectraW22,20220305,CR,2,1,0,110-1-0,5.55,,
spectraW22,20220305,CR,2,1,0,110-1-0,6.08,,
spectraW22,20220305,CR,2,1,0,110-1-0,6.56,,
spectraW22,20220305,CR,2,1,0,110-1-0,8.06,,
spectraW22,20220305,CR,2,1,0,110-1-0,6.12,,
spectraW22,20220305,CR,2,1,4,110-1-4,7.2,,
spectraW22,20220305,CR,2,1,4,110-1-4,6.91,,
spectraW22,20220305,CR,2,1,4,110-1-4,8.32,,
spectraW22,20220305,CR,2,1,4,110-1-4,5.52,,
spectraW22,20220305,CR,2,1,4,110-1-4,6.37,,
spectraW22,20220305,CR,2,1,4,110-1-4,7.37,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,4.5,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,7.46,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,NA,severe damage,
spectraW22,20220305,CR,2,1,4p,110-1-4p,7.55,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,NA,severe damage,
spectraW22,20220305,CR,2,1,4p,110-1-4p,9.64,post-flexion,
spectraW22,20220305,CR,2,1,4p,110-1-4p,7.13,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,6.31,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,4.55,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,4.3,,
spectraW22,20220305,CR,2,1,4p,110-1-4p,5.34,,
spectraW22,20220305,CR,2,4,0,110-4-0,15.67,post-flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,NA,damaged,
spectraW22,20220305,CR,2,4,0,110-4-0,10.49,flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,10.6,flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,12.84,post-flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,8.18,,
spectraW22,20220305,CR,2,4,0,110-4-0,11.07,post-flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,12.71,post-flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,14.16,post-flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,14.65,post-flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,13.9,post-flexion,
spectraW22,20220305,CR,2,4,0,110-4-0,15.74,post-flexion,
spectraW22,20220305,CR,2,4,2,110-4-2,16.89,post-flexion,
spectraW22,20220305,CR,2,4,3,110-4-3,9.26,,
spectraW22,20220305,CR,2,4,4,110-4-4,NA,damaged,
spectraW22,20220305,CR,2,4,4,110-4-4,10.56,,
spectraW22,20220305,CR,2,4,4,110-4-4,7.35,,
spectraW22,20220305,CR,2,4,4,110-4-4,9.03,,
spectraW22,20220305,CR,2,4,4,110-4-4,9.21,,
spectraW22,20220305,CR,2,4,4,110-4-4,8.59,,
spectraW22,20220305,CR,2,4,4,110-4-4,12.08,post-flexion,
spectraW22,20220305,CR,2,4,4,110-4-4,6.45,,
spectraW22,20220305,CR,2,4,4,110-4-4,9.95,,
spectraW22,20220305,CR,2,4,4,110-4-4,10.61,,
spectraW22,20220305,CR,2,4,4,110-4-4,6.42,,
spectraW22,20220305,CR,2,4,4,110-4-4,7.35,,
spectraW22,20220305,CR,2,4,4,110-4-4,8.61,,
spectraW22,20220305,CR,2,4,4,110-4-4,7.64,,
spectraW22,20220305,CR,2,4,4,110-4-4,6.29,,
spectraW22,20220305,CR,2,4,4,110-4-4,8.64,,
spectraW22,20220305,CR,2,4,4,110-4-4,7.46,,
spectraW22,20220305,CR,2,4,4,110-4-4,14.35,post-flexion,
spectraW22,20220305,CR,2,4,4,110-4-4,14.09,post-flexion,
spectraW22,20220305,CR,2,4,4,110-4-4,6.49,,
spectraW22,20220305,CR,2,4,4,110-4-4,14.65,post-flexion,
spectraW22,20220305,CR,2,4,4,110-4-4,11.28,post-flexion,
spectraW22,20220305,CR,2,4,4,110-4-4,16.25,post-flexion,
spectraW22,20220305,CR,2,4,4,110-4-4,8.98,,in ? Vial
spectraW22,20220307,CM,3,1,4,112-1-4,8.45,,
spectraW22,20220307,CM,3,1,4,112-1-4,6.87,,
spectraW22,20220307,CM,3,4,0,112-4-0,9.14,flexion,
spectraW22,20220307,CM,2,1,3,113-1-3,8.76,,
spectraW22,20220307,CM,2,4,2,113-4-2,11.54,post-flexion,
spectraW22,20220307,CM,2,4,2,113-4-2,15.2,post-flexion,
spectraW22,20220307,CM,2,4,2,113-4-2,13.85,post-flexion,
spectraW22,20220307,CM,2,4,2,113-4-2,8.29,,
spectraW22,20220307,CM,2,4,3,113-4-3,13.39,post-flexion,
spectraW22,20220307,CM,2,4,3,113-4-3,11.65,post-flexion,
spectraW22,20220307,CM,2,4,3,113-4-3,13.42,post-flexion,
spectraW22,20220307,CM,2,4,3,113-4-3,9.92,post-flexion,
spectraW22,20220307,CM,2,4,3,113-4-3,16.66,post-flexion,
spectraW22,20220307,CM,1,1,0,114-1-0,10.06,post-flexion,
spectraW22,20220307,CM,1,1,0,114-1-0,3.88,,
spectraW22,20220307,CM,1,1,0,114-1-0,6.49,,
spectraW22,20220307,CM,1,1,0,114-1-0,8.26,,
spectraW22,20220307,CM,1,1,0,114-1-0,5.5,,
spectraW22,20220307,CM,1,1,0,114-1-0,6.09,,
spectraW22,20220307,CM,1,1,0,114-1-0,4.57,,
spectraW22,20220307,CM,1,1,0,114-1-0,6.47,,
spectraW22,20220307,CM,1,1,4,114-1-4,8.62,,
spectraW22,20220307,CM,1,1,4,114-1-4,6.7,,
spectraW22,20220307,CM,1,4,0,114-4-0,6.72,,
spectraW22,20220307,CM,1,4,0,114-4-0,9.15,,
spectraW22,20220307,CM,1,4,4,114-4-4,8.95,,
spectraW22,20220307,CM,1,4,4,114-4-4,9,,
spectraW22,20220308,NH,4,1,2,115-1-2,8.61,post-flexion,
spectraW22,20220308,NH,4,4,0,115-4-0,10.18,post-flexion,
spectraW22,20220308,NH,5,1,4,116-1-4,10.65,post-flexion,
spectraW22,20220308,NH,5,4,0,116-4-0,9.28,post-flexion,
spectraW22,20220308,NH,6,4,4,117-4-4,NA,missing head,
spectraW22,20220309,NH,1,1,0,118-1-0,6.27,,
spectraW22,20220309,NH,1,1,3,118-1-3,14.76,post-flexion,
spectraW22,20220309,NH,1,1,4,118-1-4,9.55,damaged,
spectraW22,20220309,NH,1,1,4,118-1-4,5.41,,
spectraW22,20220309,NH,1,1,4,118-1-4,7.74,,
spectraW22,20220309,NH,1,4,0,118-4-0,11.84,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,9.72,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,NA,damaged,
spectraW22,20220309,NH,1,4,0,118-4-0,6.61,,
spectraW22,20220309,NH,1,4,0,118-4-0,10.23,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,11.73,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,8.64,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,NA,damaged,
spectraW22,20220309,NH,1,4,0,118-4-0,9.28,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,12.11,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,10.57,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,13.54,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,10.44,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,12.04,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,14.46,post-flexion,
spectraW22,20220309,NH,1,4,0,118-4-0,15.21,post-flexion,
spectraW22,20220309,NH,1,4,3,118-4-3,12.65,post-flexion,
spectraW22,20220309,NH,1,4,3,118-4-3,15.41,post-flexion,
spectraW22,20220309,NH,1,4,3,118-4-3,10.56,post-flexion,
spectraW22,20220309,NH,1,4,3,118-4-3,12.58,post-flexion,
spectraW22,20220309,NH,1,4,3,118-4-3,11.31,post-flexion,
spectraW22,20220309,NH,1,4,3,118-4-3,NA,damaged,
spectraW22,20220309,NH,1,4,3,118-4-3,NA,damaged,
spectraW22,20220309,NH,1,4,3,118-4-3,14.54,post-flexion,
spectraW22,20220309,NH,1,4,3,118-4-3,14.25,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,7.98,,
spectraW22,20220309,NH,1,4,4,118-4-4,9.88,,
spectraW22,20220309,NH,1,4,4,118-4-4,7.54,,
spectraW22,20220309,NH,1,4,4,118-4-4,9.37,,
spectraW22,20220309,NH,1,4,4,118-4-4,7.71,,
spectraW22,20220309,NH,1,4,4,118-4-4,8.39,,
spectraW22,20220309,NH,1,4,4,118-4-4,8.8,,
spectraW22,20220309,NH,1,4,4,118-4-4,10.31,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,11.05,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,9.25,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,6.83,,
spectraW22,20220309,NH,1,4,4,118-4-4,10.82,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,9.18,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,7.88,,
spectraW22,20220309,NH,1,4,4,118-4-4,10.84,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,12.32,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,10.9,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,11.41,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,12.48,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,11.31,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,13.6,post-flexion,
spectraW22,20220309,NH,1,4,4,118-4-4,14.12,post-flexion,
spectraW22,20220309,NH,2,1,0,119-1-0,14.51,post-flexion,
spectraW22,20220309,NH,2,1,3,119-1-3,7.11,post-flexion,
spectraW22,20220309,NH,2,1,4,119-1-4,3.53,,
spectraW22,20220309,NH,2,1,4,119-1-4,NA,damaged,
spectraW22,20220309,NH,2,4,0,119-4-0,7.82,,
spectraW22,20220309,NH,2,4,0,119-4-0,8.38,,
spectraW22,20220309,NH,2,4,0,119-4-0,4.89,,
spectraW22,20220309,NH,2,4,0,119-4-0,8.29,post-flexion,
spectraW22,20220309,NH,2,4,0,119-4-0,8.05,,
spectraW22,20220309,NH,2,4,0,119-4-0,7.41,,
spectraW22,20220309,NH,2,4,0,119-4-0,10.64,post-flexion,
spectraW22,20220309,NH,2,4,0,119-4-0,7.85,,
spectraW22,20220309,NH,2,4,0,119-4-0,7.44,,
spectraW22,20220309,NH,2,4,0,119-4-0,11.14,post-flexion,
spectraW22,20220309,NH,2,4,0,119-4-0,12.37,post-flexion,
spectraW22,20220309,NH,2,4,0,119-4-0,14.46,post-flexion,
spectraW22,20220309,NH,2,4,0,119-4-0,6.66,,
spectraW22,20220309,NH,2,4,0,119-4-0,NA,damaged,
spectraW22,20220309,NH,2,4,3,119-4-3,11.79,post-flexion,
spectraW22,20220309,NH,2,4,4,119-4-4,4.89,,
spectraW22,20220309,NH,2,4,4,119-4-4,8.38,,
spectraW22,20220309,NH,2,4,4,119-4-4,13.91,post-flexion,
spectraW22,20220309,NH,2,4,4,119-4-4,11.86,post-flexion,
spectraW22,20220309,NH,2,4,4,119-4-4,12.58,post-flexion,
spectraW22,20220309,NH,2,4,4,119-4-4,14.38,post-flexion,
spectraW22,20220310,HH,2,1,1,123-1-0,6.85,,
spectraW22,20220310,HH,2,1,3,123-1-3,6.17,,
spectraW22,20220310,HH,2,1,4,123-1-4,3.7,,
spectraW22,20220310,HH,2,1,4,123-1-4,3.54,,
spectraW22,20220310,HH,2,1,4*,123-1-4*,9.83,damaged,
spectraW22,20220310,HH,2,4,0,123-4-0,9.75,post-flexion,
spectraW22,20220310,HH,2,4,1,123-4-1,12.79,post-flexion,
spectraW22,20220310,HH,2,4,1,123-4-1,9.5,post-flexion,
spectraW22,20220310,HH,2,4,2,123-4-2,12.97,post-flexion,
spectraW22,20220310,HH,2,4,2,123-4-2,11.59,post-flexion,
spectraW22,20220310,HH,2,4,2,123-4-2,13.83,post-flexion,
spectraW22,20220310,HH,2,4,4,123-4-4,13.47,post-flexion,
spectraW22,20220310,HH,1,1,0,124-1-0,3.49,,
spectraW22,20220310,HH,1,1,0,124-1-0,4.87,,
spectraW22,20220310,HH,1,1,0,124-1-0,5.55,,
spectraW22,20220310,HH,1,1,0,124-1-0,8.67,,
spectraW22,20220310,HH,1,1,0,124-1-0,8.25,post-flexion,
spectraW22,20220310,HH,1,1,0,124-1-0,11.53,post-flexion,
spectraW22,20220310,HH,1,1,0,124-1-0,12.69,post-flexion,
spectraW22,20220310,HH,1,1,4,124-1-4,4.46,,
spectraW22,20220310,HH,1,1,4,124-1-4,6.51,,
spectraW22,20220310,HH,1,1,4,124-1-4,8.51,,
spectraW22,20220310,HH,1,1,4,124-1-4,8.67,flexion,
spectraW22,20220310,HH,1,1,4,124-1-4,14.4,post-flexion,
spectraW22,20220310,HH,1,1,4*,124-1-4*,6.01,,
spectraW22,20220310,HH,1,4,0,124-4-0,NA,damaged,
spectraW22,20220310,HH,1,4,0,124-4-0,13.7,post-flexion,
spectraW22,20220310,HH,1,4,4,124-4-4,6.27,,
spectraW22,20220310,HH,1,4,4,124-4-4,9.33,,
spectraW22,20220310,HH,1,4,4,124-4-4,12.66,post-flexion,
spectraW22,20220310,HH,1,4,4,124-4-4,12.43,post-flexion,
spectraW22,20220310,HH,1,4,4,124-4-4,14.45,post-flexion,
spectraW22,20220310,HH,1,4,4,124-4-4,11.95,post-flexion,
spectraW22,20220311,RR,1,4,0,125-4-0,10.07,post-flexion,
spectraW22,20220311,RR,2,4,0,126-4-0,14.47,post-flexion,
spectraW22,20220311,RR,2,4,0,126-4-0,10.19,post-flexion,
spectraW22,20220311,RR,2,4,4,126-4-4,13.75,post-flexion,
spectraW22,20220311,RR,3,4,0,127-4-0,7.84,,
spectraW22,20220311,RR,3,4,0,127-4-0,11.71,post-flexion,
spectraW22,20220311,RR,4,1,3,128-1-3,14.47,post-flexion,
spectraW22,20220311,RR,4,1,4,128-1-4,5.27,,
spectraW22,20220311,RR,4,4,0,128-4-0,13.87,post-flexion,
spectraW22,20220311,RR,4,4,0,128-4-0,11.83,post-flexion,
spectraW22,20220311,RR,4,4,3,128-4-3,11.1,post-flexion,
spectraW22,20220311,RR,4,4,3,128-4-3,13.18,post-flexion,
spectraW22,20220311,RR,4,4,3,128-4-3,12.17,post-flexion,
spectraW22,20220311,RR,4,4,3,128-4-3,11.88,post-flexion,
spectraW22,20220311,RR,4,4,3,128-4-3,16.44,post-flexion,
spectraW22,20220311,RR,4,4,3,128-4-3,11.45,post-flexion,
